acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,like
0.732,2.94,3.078,14.28,0.0753,1.36011783,0.1128,1.5717836764,0.245,:)
0.0277,6.84,7.686,8.652,0.0983,1.1597250634,0.0984,3.501880512,0.85,:)
0.75,6.96,4.482,8.568,0.0969,1.1481057196,0.0882,2.8525419332,0.457,:)
0.319,6.27,7.974,18.396,0.0588,1.1058833156,0.0792,2.1002507348,1.4,:)
0.893,5.43,1.6398,17.157,0.121,1.7197447018,0.1119,3.9640325092,0.1765,:)
0.799,1.89,0.9702,10.689,0.0901,1.6653301694,0.1377,1.7847570464,0.19,:)
0.00221,6.24,8.046,12.684,0.083,0.8662957204,0.0927,3.7202576516,1.44,:)
0.0414,6.705,6.282,8.421,0.102,0.9514769658,0.0942,2.67854055,0.378,:)
0.000791,4.455,12.15,0.03507,0.22,0.7138532036,0.1413,2.8213729896,0.2,:)
0.185,4.725,5.292,0.945,0.0776,0.9083544718,0.1002,2.7245374372,0.4815,:)
0.256,3.975,3.978,3.906,0.0629,1.0631699534,0.0987,2.9591258864,0.3295,:)
0.836,5.835,2.52,16.548,0.0774,1.1931920464,0.1134,2.5951711916,0.28,:)
0.846,4.485,2.07,14.511,0.323,1.4841665984,0.1008,2.8946264916,0.1965,:)
0.675,1.5,3.312,16.842,0.348,1.6110792898,0.1104,1.6222981152,0.179,:)
0.0771,7.35,6.372,1.1571,0.348,1.0750347762,0.0981,3.1263185196,1.295,:)
0.0415,9.285,14.13,0.0546,0.136,0.9567138532,0.0873,2.9827727824,2.98,:)
0.0775,9.12,9.414,12.6,0.0897,1.1064561002,0.0885,3.1125929448,3.48,:)
0.255,5.715,4.554,2.604,0.126,1.1659438672,0.1146,2.6878350336,0.3085,:)
0.0101,3.78,10.584,10.857,0.266,0.9205466002,0.1209,1.6683166176,0.855,:)
0.812,3.345,4.482,7.938,0.0855,1.7118893708,0.1056,3.6309873768,0.63,:)
0.681,4.515,5.256,1.092,0.11,1.228131904,0.1188,3.0048201624,0.52,:)
0.00311,5.325,10.242,3.591,0.087,0.9365027412,0.1197,2.6355913884,1.46,:)
0.944,3.75,1.3518,19.782,0.0968,2,0.1218,3.4360625972,0.1915,:)
0.00628,7.05,15.282,0.008043,0.635,0.786924147,0.102,3.2415917344,2.26,:)
0.87,7.995,1.908,11.739,0.25,1.5340806808,0.1344,2.6372989796,0.1735,:)
0.185,7.35,8.172,8.757,0.0801,0.9074543818,0.0849,1.967577382,0.785,:)
0.00202,6.585,10.89,11.214,0.0723,0.8743147042,0.0849,3.0264568564,0.535,:)
0.00773,5.145,7.686,17.22,0.0718,1.057933066,0.0993,4,0.3055,:)
0.976,8.205,3.672,17.85,0.0969,1.4545454546,0.0993,1.9903164448,0.2605,:)
0.0453,8.235,12.834,0.3045,0.119,0.9255380084,0.1419,2.161226872,1.03,:)
0.0129,8.67,10.8,0.2751,0.126,0.9642418788,0.0981,2.8312294656,0.77,:)
0.0948,7.41,3.672,1.8711,0.209,1.0818263644,0.0978,2.917884316,0.2455,:)
0.0099,6.855,14.922,0.016317,0.319,0.7498568038,0.1401,3.4159821892,2.495,:)
0.0873,6.45,4.914,0.651,0.0823,1.153342607,0.1083,2.4638379732,0.2415,:)
0.975,9.045,1.2996,2.667,0.117,1.5941412324,0.1125,2.5049498532,0.87,:)
0.00215,5.04,14.31,0.6993,0.262,0.8256280174,0.1521,1.6467015388,1.52,:)
0.25,8.235,4.932,14.238,0.0954,1.3579903444,0.1236,3.6763574268,1.165,:)
0.639,7.065,4.302,0.6615,0.152,1.187464201,0.1038,2.5088837972,0.215,:)
0.00138,7.47,15.21,0.05355,0.09,0.4191964652,0.1119,2.0572151132,0.685,:)
0.0423,6.84,13.968,0.20475,0.148,0.5727027248,0.1044,3.7666652256,1.115,:)
0.614,3.42,7.056,5.397,0.508,0.6929874806,0.0849,1.72250562,0.231,:)
0.00246,4.44,11.052,18.438,0.217,0.588004255,0.0978,3.3300190212,0.86,:)
0.838,6.63,5.814,0.010437,0.166,0.6593568448,0.0849,1.8831272696,0.1995,:)
0.938,6.165,5.688,18.774,0.113,0.7041158662,0.087,3.246390282,0.605,:)
0.00202,7.905,15.984,13.167,0.381,0.4676376728,0.1458,3.4147717448,1.47,:)
0.203,5.31,10.458,13.755,0.177,0.4970133376,0.0906,3.7169505448,1.685,:)
0.016,5.64,14.202,14.784,0.245,0.411750266,0.15,3.457677676,0.2415,:)
0.264,7.89,10.17,9.366,0.132,0.6641846002,0.0816,1.7499351548,0.665,:)
0.00997,8.04,10.692,16.275,0.657,0.5146878324,0.0927,3.4583045132,1.13,:)
0.389,7.29,9.522,18.06,0.725,0.662548073,0.0837,2.1180183296,0.196,:)
0.00147,6.96,10.548,0.03129,0.177,0.7578757876,0.0861,1.6869488156,1.735,:)
0.886,7.995,1.107,0.3402,0.126,1.7264544636,0.0963,1.6873811172,0.515,:)
0.0262,7.785,10.134,1.6695,0.175,0.7616398004,0.0918,1.6862571328,2.11,:)
0.0151,7.635,10.332,4.389,0.158,0.8147451108,0.0864,2.8249394776,0.755,:)
0.861,5.22,3.366,1.4112,0.439,1.5168971442,0.1053,2.6069946396,0.735,:)
0.42,5.295,5.166,1.2978,0.11,1.3130676704,0.0972,2.80771226,0.955,:)
0.531,8.67,6.12,6.027,0.0917,0.9811799362,0.0885,2.4213211136,0.37,:)
0.000459,6.135,13.302,0.020832,0.177,0.4512724,0.0861,1.7707720908,0.555,:)
