acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,like
0.222,6.66,14.166,2.793,0.181,0.4643119684,0.102,2.6054030492,2.92,-1
0.00478,8.055,11.898,0.0011655,0.288,0.5098890328,0.1038,2.2739427476,2.31,-1
0.0163,9.735,16.542,0.0004725,0.199,0.2976861414,0.0762,1.8040991916,4.155,-1
0.834,4.92,4.572,18.627,0.0992,1.4252809186,0.1107,2.860754456,3.28,-1
0.00565,4.38,11.106,2.457,0.0825,0.5741589946,0.1374,2.7785053016,1.505,-1
0.464,4.605,7.398,3.108,0.328,0.7851016908,0.0969,3.0329280888,0.61,-1
0.0342,8.085,12.636,16.863,0.185,0.6439598138,0.0849,2.31112543,2.305,-1
0.806,7.665,6.516,18.27,0.104,1.1957853468,0.1623,1.8220461848,2.7,-1
0.398,5.475,6.804,17.85,0.112,0.7435852558,0.1116,2.1701458312,2.065,-1
0.269,4.83,15.3,0.00014637,0.0737,0.3153988868,0.1527,3.1293150008,1.075,-1
0.509,1.374,8.334,18.333,0.328,0.7234221304,0.0993,1.6393924176,0.206,-1
0.0365,4.755,15.534,18.144,0.263,0.607064095,0.1206,2.8103247324,2.295,-1
0.323,5.76,6.894,0.008127,0.0826,0.7666888368,0.09,2.6594524936,0.2325,-1
0.0192,6.78,13.122,1.2243,0.115,0.3920607694,0.0912,1.5920138724,2.3,-1
0.168,10.095,10.044,17.976,0.098,0.860083313,0.1023,2.2746060472,1.865,-1
0.139,8.28,12.348,18.081,0.138,0.7442153534,0.0804,1.5157912692,2.475,-1
0.00867,6.66,17.244,0.13692,0.323,0.2706619526,0.1455,2.055811926,2.755,-1
0.000424,3.45,13.788,17.598,0.159,0.2694717682,0.1194,2.8636729744,1.13,-1
0.154,4.02,11.466,19.719,0.0945,0.7031189834,0.1062,1.4290316772,0.585,-1
0.00406,6.24,8.388,1.0731,0.12,0.610354605,0.1089,2.2568296172,1.785,-1
0.461,7.35,8.478,19.299,0.114,1.1121923898,0.1371,2.488794974,1.625,-1
0.00451,5.19,15.3,0.015246,0.109,0.3268806666,0.1278,2.4778031516,0.795,-1
0.0322,7.785,8.01,18.375,0.141,0.668393601,0.0921,2.4221428368,0.2285,-1
0.155,6.405,12.15,1.8333,0.114,0.6833059124,0.1698,2.5222631784,1.62,-1
0.00351,7.95,16.542,17.892,0.0572,0.577799559,0.1986,2.672718486,1.915,-1
0.652,4.23,6.696,8.736,0.0754,0.6840760318,0.0948,1.9939734492,0.276,-1
0.305,5.505,10.962,0.5376,0.196,0.7855917668,0.1365,2.8312281468,2.225,-1
0.0214,3.705,10.692,2.0979,0.196,0.6798053698,0.1224,1.4198402396,1.515,-1
0.526,6.915,7.002,0.09639,0.07,0.8327790808,0.087,2.3303232164,0.895,-1
0.407,6.81,11.7,1.0458,0.589,0.7134805894,0.1311,2.2770886832,3.6,-1
0.788,4.605,5.346,5.691,0.18,0.8295585816,0.093,1.6571119936,0.99,-1
